cohort,user,time_year,time_month,subscription,content,genres,recency_new,bounce
0,0,2017,6,1,4,2,0.1429,0.2857
0,0,2017,7,1,7,2,0.1667,0.25
0,1,2017,6,1,5,4,0.6,1
0,1,2017,7,1,9,4,0.8,0.5
0,2,2017,6,1,7,3,0.625,0.625
0,2,2017,7,1,3,2,0.6667,1
0,3,2017,6,1,2,1,0.5,1
0,3,2017,7,1,2,2,0,0.3333
0,4,2017,6,1,2,2,1,0.5
0,5,2017,6,1,9,1,0,0
0,6,2017,6,1,2,1,0,0
0,6,2017,7,1,3,2,0,0.3333
0,7,2017,6,1,5,2,0,0.4
0,8,2017,6,1,3,1,0,0.4
0,9,2017,6,1,1,1,0,0
0,9,2017,7,1,2,2,0,0
0,10,2017,6,1,6,2,0.1429,0.4286
0,10,2017,7,1,1,1,0,0.5
0,11,2017,6,1,3,1,0.2,0.5
0,11,2017,7,1,4,2,0,0.7778
0,12,2017,6,1,2,1,0,1
0,12,2017,7,1,2,1,0,0.3333
0,13,2017,6,1,5,2,0,0.5
0,13,2017,7,1,1,1,0,0.5
0,14,2017,6,1,2,2,0.5,0
0,14,2017,7,1,1,1,0,1
0,15,2017,6,1,4,2,0,0.5
0,16,2017,6,1,4,1,0.25,0.75
0,17,2017,6,1,8,2,0.3333,0.3333
0,18,2017,6,1,2,2,0.3333,0.3333
0,18,2017,7,1,5,2,0.3333,0.5
0,19,2017,6,1,5,3,0,0
0,19,2017,7,1,4,3,0,0
0,20,2017,6,1,5,3,0.2,0.6
0,20,2017,7,1,1,1,0,1
0,21,2017,6,1,3,2,0.1429,0
0,21,2017,7,1,29,4,0.3333,0
0,22,2017,6,1,7,4,0,0.7
0,22,2017,7,1,9,4,0.1111,0.5556
0,23,2017,6,1,12,1,0,0.5
0,23,2017,7,1,1,1,0,0
0,24,2017,6,1,4,4,0.25,0.5
0,25,2017,6,1,1,1,1,1
0,25,2017,7,1,,,,
0,25,2017,8,1,,,,
0,25,2017,9,1,5,2,0.6667,0.5
0,25,2017,10,1,2,2,0.5,0.5
0,26,2017,6,1,1,1,1,1
0,26,2017,7,1,3,2,0,0.3333
0,27,2017,6,1,2,1,0,0
0,27,2017,7,1,2,2,0,1
0,28,2017,6,1,3,2,0.3333,0.6667
0,29,2017,6,1,2,2,0.3333,0.3333
0,29,2017,7,1,1,1,0,0.3333
0,30,2017,6,1,2,2,0.5,0.5
0,30,2017,7,1,4,2,0.375,0.125
0,31,2017,6,1,3,3,0.6667,1
0,31,2017,7,1,1,1,0,0.5
0,31,2017,8,1,1,1,1,0
0,32,2017,6,1,3,2,0.8,0
0,33,2017,6,1,1,1,0,1
0,33,2017,7,1,3,2,0,0
0,34,2017,6,1,4,2,0.4,0.6
0,35,2017,6,1,1,1,1,0.6667
0,35,2017,7,1,6,2,0.3333,0.5
0,36,2017,6,1,2,2,0.5,0.5
0,36,2017,7,1,8,2,0.375,0.125
0,36,2017,8,1,2,1,0,0.5
0,37,2017,6,1,4,1,0.25,0.75
0,38,2017,6,1,4,2,0.2,0.4
0,38,2017,7,1,3,1,0,0.75
0,39,2017,6,1,3,2,0,0.5
0,40,2017,6,1,1,1,1,1
0,40,2017,7,1,4,2,0.4,0.8
0,41,2017,6,1,2,2,0.6667,0.3333
0,41,2017,7,1,5,4,0.1429,0.4286
0,42,2017,6,1,2,2,0,1
0,42,2017,7,1,3,3,0,1
0,43,2017,6,1,3,2,0.3333,0
0,43,2017,7,1,4,3,0,0
0,44,2017,6,1,3,2,0.75,0.25
0,45,2017,6,1,3,2,0.4,0.2
0,45,2017,7,1,2,2,0.5,0.5
0,46,2017,6,1,1,1,0,1
0,46,2017,7,1,3,1,0.5,0
0,47,2017,6,1,8,3,0.2,0.4
0,48,2017,6,1,4,3,0.5,0.75
0,49,2017,6,1,2,2,0,1
0,49,2017,7,1,1,1,0,1
0,50,2017,6,1,2,1,0.6667,0.3333
0,50,2017,7,1,1,1,1,0.5
0,51,2017,6,1,1,1,1,1
0,51,2017,7,1,7,3,0.5,0.5
0,52,2017,6,1,1,1,1,1
0,52,2017,7,1,2,2,0.5,0.5
0,53,2017,6,1,2,1,0.5,1
0,53,2017,7,1,2,2,0,1
0,54,2017,6,1,1,1,1,0
0,54,2017,7,1,13,4,0.1176,0.5882
0,54,2017,8,1,2,2,1,0.5
0,55,2017,6,1,3,2,0.6667,0.3333
0,56,2017,6,1,5,3,0.25,0.375
0,57,2017,6,1,2,2,0,0.5
0,57,2017,7,1,1,1,0,0
0,58,2017,6,1,4,2,1,0.375
0,59,2017,6,1,1,1,0,1
0,59,2017,7,1,9,3,0.2,0.6
0,60,2017,6,1,4,1,0.6,0.8
0,60,2017,7,1,1,1,0,0
0,61,2017,6,1,2,1,0,0.5
0,61,2017,7,1,1,1,0,1
0,62,2017,6,1,2,1,0,0
0,62,2017,7,1,1,1,0,0
0,63,2017,6,1,8,3,0.2222,0.6667
0,63,2017,7,1,2,1,0,1
0,64,2017,6,1,5,2,0.8571,0.2857
0,65,2017,6,1,2,2,0.5,1
0,65,2017,7,1,2,1,0,0.2
0,66,2017,6,1,2,2,0,0.5
0,66,2017,7,1,1,1,1,0
0,67,2017,6,1,9,3,0.4545,0.5455
0,68,2017,6,1,2,2,0,0
0,68,2017,7,1,1,1,0,0
0,69,2017,6,1,4,3,0.6,0.6
0,69,2017,7,1,5,3,0.6,0.4
0,70,2017,6,1,3,2,0.3333,0.3333
0,70,2017,7,1,1,1,0,0
0,71,2017,6,1,11,3,0.4167,0
0,72,2017,6,1,5,4,0.6667,0.3333
0,73,2017,6,1,7,4,0.6,0
0,74,2017,6,1,6,3,0.125,0.25
0,75,2017,6,1,1,1,0,0.5
0,75,2017,7,1,8,2,0.2308,0.3077
0,76,2017,6,1,4,1,0,1
0,76,2017,7,1,1,1,0,0
0,77,2017,6,1,7,2,0.2857,0.4286
0,77,2017,7,1,7,2,0.1818,0.7273
0,78,2017,6,1,4,1,0.125,0.5
0,78,2017,7,1,12,3,0.3571,0.7143
0,79,2017,6,1,5,3,0.4,0.2
0,80,2017,6,1,7,5,0,0.1538
0,81,2017,6,1,3,2,0,0
0,82,2017,6,1,8,2,0.625,0.625
0,82,2017,7,1,3,1,0.3333,0.6667
0,83,2017,6,1,1,1,0,1
0,83,2017,7,1,3,2,0,0.6667
0,84,2017,6,1,5,2,0.5,0.6667
0,85,2017,6,1,3,1,0.3333,0.3333
0,86,2017,6,1,1,1,1,1
0,86,2017,7,1,2,2,0,0
0,87,2017,6,1,1,1,0,0
0,87,2017,7,1,2,2,0.5,1
0,88,2017,6,1,4,3,1,0.5
0,88,2017,7,1,2,2,1,1
0,89,2017,6,1,1,1,0,0
0,89,2017,7,1,4,1,0,0
0,90,2017,6,1,1,1,0,1
0,90,2017,7,1,3,1,0,0.3333
0,91,2017,6,1,2,2,0,0.25
0,91,2017,7,1,1,1,1,0
0,92,2017,6,1,2,2,0.3333,0.3333
0,92,2017,7,1,1,1,1,1
0,93,2017,6,1,6,2,0.1429,0.1429
0,93,2017,7,1,14,3,0.2632,0.2105
0,94,2017,6,1,4,2,0.25,0
0,94,2017,7,1,8,3,0.3333,0
0,95,2017,6,1,9,2,0.0909,0.6364
0,96,2017,6,1,2,2,0.8,1
0,97,2017,6,1,1,1,1,1
0,97,2017,7,1,,,,
0,97,2017,8,1,4,2,0.75,0.5
0,97,2017,9,1,5,4,0.4286,0.4286
